PC1,PC2,Class
-57.44698694677671,-95.41098073343359,PRAD
-16.919430052293244,-0.7324703330753697,LUAD
-70.3452178900412,19.303326595009228,PRAD
-49.16159138894769,9.227586111801303,PRAD
-18.13253352087176,51.32779670734807,BRCA
-19.174993984318643,-23.718420267961193,PRAD
42.456917640363194,-74.62597949375264,KIRC
16.097012488398864,-32.534738589694236,PRAD
3.9700951249789322,70.24803966232328,BRCA
-27.94135549116901,-2.65956256248812,PRAD
-18.486718693911733,15.126197604635683,BRCA
88.63496976601095,-41.75764610006791,KIRC
3.710407547815711,-11.764263751490454,PRAD
-83.69526810076778,-71.75188811900932,BRCA
-48.07415319619002,36.395641209915716,BRCA
11.055030398864284,46.157446006675514,BRCA
2.830312899536905,1.558868848568578,LUAD
85.2297931704811,-23.779513708792997,KIRC
85.30209659676171,-20.605635194413104,KIRC
-28.215383918464735,2.475733422009018,PRAD
13.923836370338455,118.99401241886194,BRCA
35.65236106818671,-6.040700527286073,KIRC
-3.357787685763867,6.085389742778539,LUAD
-69.29700921083696,1.9336473529149483,BRCA
100.95710407655943,10.711640754032008,KIRC
32.431843951119006,-0.4304057885394393,LUAD
-54.16009543389264,-19.439378800839012,COAD
-15.188364718826985,41.515822856492676,BRCA
-29.35531429702907,19.487533542378923,BRCA
-37.08865170280588,57.166770597396976,BRCA
-25.553750045116356,27.29318834953275,BRCA
13.04002528611738,111.07143552394905,BRCA
83.47392177085945,-5.903833670584136,KIRC
-28.151494209759463,-67.64980902193706,BRCA
-27.270825392638795,-34.79965862696419,PRAD
-20.018354830820297,55.6502640197791,BRCA
70.31962515398908,-9.073736032053231,KIRC
28.01863449227783,-6.324737968470299,LUAD
-25.512069959088237,1.5062406866250586,BRCA
-53.1584577572821,-56.32044255366496,BRCA
109.3585363677815,3.675936467084549,KIRC
-21.97215677441475,-32.16589693791525,PRAD
-6.46384844698163,-5.795766638713754,PRAD
70.89197966214428,-61.77297808112444,KIRC
90.18085694834181,-45.216623566033164,KIRC
-3.6708495456604897,69.14712751544481,BRCA
-24.196538914848386,-92.7816591028369,PRAD
-79.13886386070199,-23.222164944820133,COAD
-22.473322671863965,61.10727455470809,BRCA
-8.898066502343976,13.744534336517813,LUAD
-2.7433195499928593,76.32769159826348,BRCA
-30.348490347737204,-22.688822223508314,LUAD
-34.00569389002639,29.326009750919873,BRCA
-20.53863598367865,-18.373260682651225,PRAD
-90.54748159436892,-24.5272059443596,COAD
-70.1194246878372,-21.683707293930635,BRCA
-16.708306045250303,55.96594705514839,BRCA
-26.803770552735475,-1.9219640001998746,COAD
60.70407377606712,-78.12494966150821,KIRC
0.5913916769869574,13.031334392868198,BRCA
-15.124857491260391,-3.0894429434899817,LUAD
34.188750229663,10.569515188806506,KIRC
39.577498665039194,68.8846847307377,BRCA
6.744614753667338,-21.6375081158851,LUAD
-38.27337945172098,13.363027297062114,PRAD
-56.87693520201686,-8.950611522033148,COAD
7.679846195837599,1.1279910503227548,BRCA
-28.937260849887565,-1.3510620485151472,PRAD
82.05264055670865,-25.973202052386288,KIRC
-25.957816221069017,-14.372529745163119,BRCA
82.26513907926271,-47.375506479371694,KIRC
-5.169144929119769,3.429052706261149,BRCA
-29.210032441865128,-35.982628743322145,BRCA
5.604662731077234,4.470997072554757,LUAD
-3.537251859886904,93.40717856338469,BRCA
-26.16444992787449,-8.133273661023795,LUAD
12.820850737736913,36.394758557248274,BRCA
1.1651749160165585,-125.08485984369811,KIRC
-12.720549069051383,1.253709564872701,PRAD
-63.736488458364356,-30.81712242907522,COAD
-21.2818487452345,63.758264587860445,BRCA
